680	3.7	44.90167035	0.067
660	2.47	19.8	0.0547
640	1.57	19.2	0.0457
620	1.02	18.6	0.0402
600	0.64	18	0.0364
590	0.49	17.7	0.0349
580	0.42	17.4	0.0342
570	0.33	17.1	0.0333
560	0.26	16.8	0.0326
540	0.17	16.2	0.0317
520	0.12	15.6	0.0312
500	0.08	15	0.0308
480	0.05	14.4	0.0305
460	0.04	13.8	0.0304
420	0.02	12.6	0.0302
